id,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
1,Air Force Hospital,12.96402695,77.62750003,GOLDEN ACES,12.96232706,77.63077174,Casino
2,Air Force Hospital,12.96402695,77.62750003,inox,12.96669851,77.62422658,Multiplex
3,Amruthahalli,13.0665131,77.5966238,Reliance Fresh,13.066264,77.596961,Convenience Store
4,Amruthahalli,13.0665131,77.5966238,Bata,13.06569915,77.59940189,Shoe Store
5,Amruthahalli,13.0665131,77.5966238,Print Central,13.0629025,77.59633549,Print Shop
6,Amruthahalli,13.0665131,77.5966238,ದೊನ್ನೇ ಬಿರಿಯಾನಿ ಅಂಗಡಿ (Donne Biriyani Angadi),13.06677014,77.59286284,Indian Restaurant
7,Anandnagar Bangalore,13.033377,77.5895227,Moto Store & Café,13.03208645,77.59002006,Motorcycle Shop
8,Anandnagar Bangalore,13.033377,77.5895227,Saaga - The Royal Senate Hotel,13.03649775,77.58952451,Indian Restaurant
9,Anandnagar Bangalore,13.033377,77.5895227,Pharmacy Baptist Hospital,13.03552809,77.58955331,Pharmacy
10,Anandnagar Bangalore,13.033377,77.5895227,International Flower Auction Bangalore Limited,13.0356284,77.58930148,Garden Center
11,Anandnagar Bangalore,13.033377,77.5895227,The Royal Senate,13.03651797,77.58946572,Hotel
12,Arabic College,13.0300127,77.6208724,Kamal da Dhaba,13.02706294,77.62254828,Indian Restaurant
13,Attur,13.1074705,77.5656853,sri krishna juice and chat center,13.10857582,77.56584167,Juice Bar
14,Austin Town,12.9612736,77.6152935,Little Chef,12.96442844,77.61368011,Italian Restaurant
15,Austin Town,12.9612736,77.6152935,Chaitanya Delicacy,12.96373911,77.61457856,Indian Restaurant
16,Banaswadi,13.0141618,77.6518539,Tamarind,13.01267607,77.64771142,Indian Restaurant
17,Banaswadi,13.0141618,77.6518539,De Grand,13.01642132,77.65059662,BBQ Joint
18,Banaswadi,13.0141618,77.6518539,Saffron,13.01276296,77.64783651,Vegetarian / Vegan Restaurant
19,Banaswadi,13.0141618,77.6518539,Leela_s Kitchen,13.01374619,77.6487648,Kerala Restaurant
20,Banaswadi,13.0141618,77.6518539,Trust Chemists & Druggists,13.012673,77.647674,Pharmacy
21,Banaswadi,13.0141618,77.6518539,Idli-Yo-Idli,13.01484471,77.65631097,Vegetarian / Vegan Restaurant
22,Bangalore International Airport,13.2042586,77.70656742,PURO GUSTO,13.2009462,77.70896977,Coffee Shop
23,Bangalore International Airport,13.2042586,77.70656742,KFC,13.20109151,77.70970955,Fast Food Restaurant
24,Bangalore International Airport,13.2042586,77.70656742,Altavita,13.20100058,77.70889636,Italian Restaurant
25,Bangalore International Airport,13.2042586,77.70656742,Malgudi Tiffin Center,13.20103942,77.70880925,Vegetarian / Vegan Restaurant
26,Bangalore International Airport,13.2042586,77.70656742,Grab & Fly,13.2011368,77.70945148,Indian Restaurant
27,Bangalore International Airport,13.2042586,77.70656742,Shoppers Stop,13.20105948,77.70894279,Clothing Store
28,Bangalore International Airport,13.2042586,77.70656742,Jet Airways Lounge,13.20124727,77.70929496,Airport Lounge
29,Bangalore International Airport,13.2042586,77.70656742,Espressamente illy,13.20107587,77.70956564,Café
30,Bangalore International Airport,13.2042586,77.70656742,Smoking Chamber,13.20088339,77.70942912,Smoke Shop
31,Bangalore International Airport,13.2042586,77.70656742,Plaza Premium Lounge,13.20054233,77.70906018,Airport Lounge
32,"Bellandur,Ashoknagar Bangalore,Shanthinagar,Bangalore City",12.9791198,77.5912997,Vidhana Soudha,12.97902709,77.59188123,Capitol Building
33,"Bellandur,Ashoknagar Bangalore,Shanthinagar,Bangalore City",12.9791198,77.5912997,Cubbon Park,12.97704218,77.59527683,Park
34,"Bellandur,Ashoknagar Bangalore,Shanthinagar,Bangalore City",12.9791198,77.5912997,Hotel Paraag,12.98209185,77.59425947,Hotel
