id,Neighborhood,Latitude,Longitude
1,Agram,45.813177,15.977048
2,Amruthahalli,13.0665131,77.5966238
3,Attur,11.66371065,78.53355129
4,Banaswadi,13.0141618,77.6518539
5,Bellandur,58.235358,26.6831165
6,Bhattarahalli,13.0258004,77.714279
7,Bidrahalli,14.5774262,74.9285603
8,Byatarayanapura,13.06207355,77.59639164
9,Devanagundi,12.9736132,77.8394018
10,Devasandra,12.7572271,77.6472795
11,Doddagubbi,14.452076,75.5107992
12,Doddanekkundi,12.9757204,77.6940417
13,Domlur,12.9624669,77.6381958
14,EPIP,12.9776727,77.72220003
15,Fraser Town,42.2453631,-74.9646074
16,Gunjur,13.17602,-16.759896
17,HighCourt,53.7835082,-0.3871868
18,Hoodi,12.9919033,77.7162015
19,Horamavu,13.0273312,77.6601508
20,Indiranagar S.O (Bangalore),12.9732913,77.6404672
21,Jakkur,13.0784743,77.6068938
22,Kadugodi,13.0216263,77.7661802
23,Kalkunte,14.310717,76.2673431
24,Kannamangala,13.2151923,77.6667197
25,Kodigehalli,13.0031666,77.7272835
26,Kothanur,12.5805368,77.3330675
27,Krishnarajapuram,12.9186282,78.4463677
28,Kundalahalli,12.9684441,77.7187843
29,Lingarajapuram,13.0117678,77.6278288
30,Mahadevapura,14.4667215,76.5745227
31,Medimallasandra,12.9523031,77.830108
32,Mundur,10.8354433,76.5720879
33,Museum Road,-35.0813217,137.7042675
34,NAL,58.31895635,12.2660147
35,Panathur,12.9351457,77.7047541
36,Rajanakunte,13.1691901,77.5639442
37,Sadashivanagar,13.0077079,77.5795893
38,Samethanahalli,12.979363,77.7907328
39,Singanayakanahalli,13.1478621,77.5693207
40,Vasanthanagar,9.3137072,80.4233956
41,Venkateshapura,14.6347896,76.2308938
42,Vimanapura,12.96218,77.6635462
43,Virgonagar,13.0331172,77.734857
44,Whitefield,44.373441,-71.61026
45,Yelahanka,13.1006982,77.5963454
46,Adugodi,12.9428472,77.6104155
47,Agara,27.67060495,85.01617043
48,Anjanapura,14.1595946,75.3883166
49,Banashankari,15.8876779,75.7046777
50,Bannerghatta,12.53290595,77.54619069
51,Basavanagudi H.O,13.8345913,75.7339359
52,Begur,52.480709,13.4518288
53,Bolare,12.7798514,76.9214248
54,Bommanahalli S.O (Bangalore),13.3457317,77.4333346
55,Chandapura,17.4436387,77.433391
56,Chandapura,17.4436387,77.433391
57,Chickpet,12.9680027,77.578642
58,Chikkalasandra,12.9121916,77.5476337
59,Deepanjalinagar,12.95062355,77.53655377
60,Doddakallasandra,12.8857355,77.5557448
61,Girinagar S.O (Bangalore),12.9401439,77.5444995
62,Gottigere,12.8565317,77.5877237
63,Haragadde,12.7637369,77.655377
64,Hennagara,12.7883084,77.6733345
65,Hulimangala,12.8188956,77.6384041
66,Hulimavu,12.1597985,76.7332897
67,Hulimavu,12.1597985,76.7332897
68,Huskur,12.8607674,77.7071019
69,Jayanagar H.O,12.9292731,77.5824229
70,Jigani,12.7852528,77.6380931
71,Kalkere,12.8328089,77.5906929
72,Kallubalu,12.7712034,77.6227944
73,Kathriguppe,12.9311931,77.5547931
74,Kengeri,12.9176571,77.4837568
75,Konanakunte,12.88601785,77.5791414
76,Koramangala,12.9340114,77.6222304
77,Kumbalagodu,12.8786167,77.4467629
78,Madivala,12.7105292,77.7594262
79,Mallathahalli,12.9610667,77.5099088
80,Mavalli,12.9528478,77.5819643
81,Nayandahalli,12.9454012,77.5278104
82,Ragihalli,12.7386426,77.5745803
83,Ramohalli,12.906985,77.4185281
84,Sakalavara,12.8210611,77.6084813
85,Shanthinagar,58.235358,26.6831165
86,Singasandra,12.6850414,77.6975628
87,Subramanyapura,12.8839705,77.5412114
88,Sulikere,12.9389629,77.4475916
89,Taralu,12.7892102,77.5223282
90,Tavarekere,12.8949057,78.2277071
91,Thalaghattapura,12.8698169,77.5356688
92,Yelachenahalli,12.897971,77.5700846
93,Achitnagar,13.0911763,77.48348235
94,Bagalgunte,13.0566493,77.5048222
95,Bangalore City,13.0216263,77.7661802
96,Basaveshwaranagar,12.986475,77.5385709
97,Byatha,13.1930126,77.4848169
98,Chikkabanavara,13.4021825,76.1844179
99,Herohalli,12.8778323,77.1017182
100,Hessarghatta,13.04842585,77.50762319
101,Jalahalli H.O,13.0464531,77.5483803
102,Kakolu,13.1875001,77.5198462
103,Kamakshipalya,12.9823617,77.5226376
104,Kodigehalli,13.0031666,77.7272835
105,Kodigehalli,13.4439871,77.9970938
106,Laggere,13.0108677,77.5207301
107,Malleswaram,16.355021,81.2679183
108,Mathikere,13.0328884,77.557374
109,Msrit,13.0309553,77.56485594
110,Nagarbhavi,12.9651008,77.5078635
111,Nagasandra S.O (Bangalore),13.0479497,77.5001349
112,Peenya Dasarahalli,13.0330189,77.533201
113,Rajajinagar H.O,15.41545245,75.04406206
114,Seshadripuram,16.7044988,80.5466724
115,Shivakote,13.1345489,77.5134137
116,Srirampuram,17.0226653,81.8507267
117,Tarabanahalli,13.1905708,77.627882
118,Vidyaranyapura,13.0766407,77.5577315
119,Vijayanagar S.O (Bangalore),12.9718886,77.54578884
120,Abbur,12.22133,76.18024
121,Achalu,12.4748989,77.3630136
122,Adarangi,13.1217472,77.1931641
123,Agalakote,12.9067836,77.1683736
124,Akkur,50.7339784,5.6667674
125,Akkur,50.7339784,5.6667674
126,Alahalli,13.2765863,77.5223369
127,Aluru,15.3925756,77.2270144
128,Ambadahalli,12.5249428,77.1898736
129,Anekal,12.7086373,77.6993972
130,Anjanapura,14.1595946,75.3883166
131,Ankanahalli,12.8304835,77.2497581
132,Anneshwara,13.2153244,77.7105771
133,Aradeshanahalli,13.2223418,77.5653384
134,Arakere,13.2001117,77.5387874
135,Arudi,43.1050159,-0.4279426
136,Attibele,12.7782588,77.7712834
137,Attihalli,12.5040597,77.3287978
138,Attikuppe,12.5495019,76.6887797
139,Avathi,13.296413,77.7258629
140,Averahalli,13.035354,77.4157394
141,Bachenahatti,12.9536631,77.3038281
142,Bagalur S.O (Bangalore),13.1331868,77.6687093
143,Banavadi,13.1181137,77.2566101
144,Banavasi,14.5389738,75.0129845
145,Bannikuppe,12.6734316,77.4285699
146,Baragenahalli,13.194119,77.2371251
147,Begur,52.480709,13.4518288
148,Bendiganahalli,13.2173482,77.8337043
149,Bettakote,13.1992334,77.7409295
150,Bidadi,12.7988507,77.3869947
151,Bidaraguppe,12.8060574,77.7862873
152,Bijjahalli,12.44976,77.5438327
153,Budigere,13.1351402,77.74957
154,Budihal,40.1807801,-4.6963387
155,Byagadadenahalli,12.7426294,77.7014816
156,Bylanarasapura,13.1769973,77.9356007
157,Byramangala,12.7492546,77.4223044
158,Chakkere,12.6100353,77.1711855
159,Channarayapatna,13.2455918,77.797084
160,Chikkajala,13.1715801,77.6345704
161,Chikkanahalli,13.314318,77.7871125
162,Chunchanakuppe,12.9095576,77.386642
163,Dasanapura,13.0508851,76.9644144
164,Devanahalli,13.2483502,77.7134377
165,Devarahosahalli,13.9348185,76.0783359
166,Dobbespet,13.2307461,77.2425462
167,Doddabelavangala,13.2888795,77.4215754
168,Doddabele,13.2230654,77.3376846
169,Doddahejjaji,13.2708182,77.4152371
170,Doddajala,13.1767348,77.6520502
171,Doddakabballi,12.4418428,77.5160771
172,Doddanallala,13.0834921,77.8973974
173,Doddasanne,13.2177635,77.6941039
174,Doddasomanahalli,12.7901066,76.5178394
175,Dommasandra,13.0974753,78.4516588
176,Ganalu,12.3659908,77.2134662
177,Gangonahalli,13.1203112,77.0864791
178,Gantiganahalli,13.3600207,77.6032617
179,Garakahalli,12.4320101,76.8289688
180,Girenahalli,15.0126557,76.3879046
181,Gollahalli,13.7183597,77.579806
182,Gollahalli,13.7183597,77.579806
183,Gottigehalli,12.7209593,77.526767
184,Guddanahalli,12.6899567,77.725314
185,Gudemaranahalli,13.0514216,77.2638794
186,Hadonahalli,13.3692418,77.5449548
187,Hagalahalli,12.5542977,77.079945
188,Hanabe,13.3249793,77.4635565
189,Handenahalli,12.8259815,77.7673455
190,Harisandra,12.7867738,77.3040265
191,Harobele,12.4050244,77.426913
192,Harohalli,13.0244417,77.9387307
193,Harohalli,13.0244417,77.9387307
194,Hasigala,13.1345227,77.7756037
195,Heggadahalli,11.8792634,76.683914
196,Hegganahalli,13.2187326,77.6104355
197,Heggunda,13.2775355,77.2599783
198,Hejjala,12.8553687,77.4169835
199,Honnasandra,13.0406063,77.3373727
200,Honnayakanahalli,12.4540723,77.092583
201,Honniganahalli,12.4349571,77.2814516
202,Horalagallu,12.4769413,77.3990413
203,Hosadurga,13.7987759,76.2831034
204,Hosahalli,13.3500993,77.7429078
205,Hoskote,13.073014,77.7921381
206,Hosur,12.7328844,77.8309478
207,Hulikal,13.1381615,77.1475462
208,Hulikunte,13.5325903,77.2601097
209,Hullegowdanahalli,13.0603648,77.4065303
210,Hullenahalli,13.2312388,77.1081302
211,Hunasamaranahalli,13.1440103,77.6191241
212,Hunasanahalli,12.9844098,78.1705568
213,Huskur,12.8607674,77.7071019
214,Ibasapura,13.2431585,77.8215484
215,Jadigenahalli,13.0510014,77.8525514
216,Jagadapura,12.5053566,77.2264669
217,Jakkanahalli,13.3170855,76.6083581
218,Jakkasandra,13.2836364,77.5010643
219,Jalamangala,12.820985,77.2210866
220,Jalige,13.2265508,77.5843982
221,Kadabagere,12.9968992,77.4332254
222,Kadahalli,13.2731128,77.9938708
223,Kailancha,12.6672784,77.327378
224,Kalari,24.4707382,72.6968589
225,Kallahalli,13.1065809,77.7881984
226,Kalludevanahalli,12.8379111,77.1526738
227,Kalya,31.7498072,35.4661484
228,Kambalu,13.1668703,77.2386203
229,Kanakapura,12.5450268,77.4199095
230,Kanasavadi,13.2084418,77.4364151
231,Kanchugaranahalli,12.7229355,77.4436454
232,Kannamangala,13.2151923,77.6667197
233,Kannamangala,13.2151923,77.6667197
234,Kannur,11.94668945,75.3538773
235,Kanva,10.191463,8.991052
236,Karahalli,38.3584929,29.53123043
237,Kattigenahalli,13.0236672,77.8776606
238,Kembliganahalli,13.1303439,77.8836527
239,Kempasagara,12.9444363,77.1794388
240,Kodigehalli,13.0031666,77.7272835
241,Kodihalli,13.013635,78.3445339
242,Koira,21.9068705,85.2505093
243,Kolagondanahalli,12.4607683,77.6095243
244,Koligere,13.3021321,77.3921505
245,Kolliganahalli,12.7111621,77.4073992
246,Korati,31.80882385,-9.381361262
247,Kottagalu,12.6644649,77.3887453
248,Kudur,-6.8538494,111.075811
249,Kugur,12.0593135,8.7784405
250,Kumbalahalli,13.0924523,77.7929664
251,Kundana,13.257088,77.6284828
252,Kyasapura,12.7463402,77.200459
253,Lakkenahalli,13.7198461,77.7507448
254,Lakkojanahalli,12.6410179,77.2779274
255,Lakkur,12.7259455,76.2537773
256,Lakshmipura,13.4474189,78.2982452
257,Lakshmipura,13.4474189,78.2982452
258,Madabal,12.9136433,77.2289905
259,Madalakote,13.1149481,77.3107842
260,Madanayakanahalli,12.598853,77.092354
261,Madavara,17.1206754,77.3067602
262,Madigondanahalli,13.0694268,77.2084539
263,Magadi,12.9567353,77.2242281
264,Mahadevapura,14.4667215,76.5745227
265,Makali,13.4392417,77.4890962
266,Makali,13.4392417,77.4890962
267,Mallarabanavadi,13.0736036,77.3794648
268,Mallathahalli,12.9610667,77.5099088
269,Malur,13.0060343,77.9382839
270,Manchanabele,12.8668921,77.3344212
271,Manchanayakanahalli,12.835017,77.4172925
272,Mandibele,13.2682778,77.7880904
273,Mandigere,13.1641058,77.3703249
274,Mankunda,12.6651201,77.1422119
275,Manne,49.1772823,-1.3888152
276,Manniganahalli,13.0534939,77.1879262
277,Maralakunte,13.1322875,77.7048953
278,Marale,12.4511407,77.3997994
279,Marasandra,12.9804018,77.8739832
280,Marikuppe,13.0420279,77.2980295
281,Marsur,-0.3029971,-78.5513472
282,Mathahalli,13.1104415,77.443513
283,Mathikere,13.0328884,77.557374
